"DATARES";"TEMPERATURA";"EXTREAL"
"1970-01-20 00:00:00.0";"11.32801";"-331.8558"
"1970-02-24 00:00:00.0";"12.55518";"-318.98959"
"1970-03-17 00:00:00.0";"12.36638";"-306.74038"
"1970-04-21 00:00:00.0";"14.63199";"-265.05279"
"1970-05-26 00:00:00.0";"17.74716";"-226.69839"
"1970-07-21 00:00:00.0";"24.16638";"-165.9391"
"1970-08-18 00:00:00.0";"25.39359";"-160.46919"
"1970-09-15 00:00:00.0";"24.73279";-187893
"1970-10-06 00:00:00.0";"25.2992";"-172.8452"
"1970-11-03 00:00:00.0";"20.29598";"-244.0894"
"1970-11-17 00:00:00.0";"20.29598";"-240.3887"
"1971-01-12 00:00:00.0";"9.2984";"-329.65499"
"1971-01-26 00:00:00.0";"10.57279";"-312.4508"
"1971-03-09 00:00:00.0";"13.6408";"-304.3338"
"1971-04-10 00:00:00.0";"13.12159";"-303.9418"
"1971-05-17 00:00:00.0";"16.28399";"-264.9501"
"1971-06-22 00:00:00.0";"17.46398";"-234.2221"
"1971-07-28 00:00:00.0";"24.26079";"-179.46249"
"1971-08-31 00:00:00.0";"23.9304";-176526
"1971-09-16 00:00:00.0";"24.16638";"-173.3403"
"1971-10-28 00:00:00.0";"22.51438";"-177.13909"
"1971-12-30 00:00:00.0";"12.6496";"-243.71589"
"1972-01-27 00:00:00.0";"10.76159";"-254.4015"
"1972-02-14 00:00:00.0";"11.32801";"-254.1562"
"1972-03-11 00:00:00.0";"12.03598";"-259.3966"
"1972-04-29 00:00:00.0";"16.61438";"-156.89019"
"1972-05-12 00:00:00.0";"16.47279";"-125.5006"
"1972-06-14 00:00:00.0";"21.33437";"10.42933"
"1972-07-18 00:00:00.0";"24.30801";"46.87263"
"1972-08-01 00:00:00.0";"26.1488";"123.5232"
"1972-09-20 00:00:00.0";"26.00717";"180.81219"
"1972-10-09 00:00:00.0";"24.30801";"157.87339"
"1972-11-09 00:00:00.0";"21.75919";"308.46438"
"1973-01-26 00:00:00.0";"17.22801";"702.39379"
"1973-02-26 00:00:00.0";"17.84159";"640.37878"
"1973-05-31 00:00:00.0";"21.47598";"304.6408"
"1973-08-31 00:00:00.0";"26.19598";"-201.4389"
"1973-09-01 00:00:00.0";"24.4496";"-313.86969"
"1973-11-01 00:00:00.0";"20.5";"-256.33999"
"1973-11-30 00:00:00.0";"17.29999";"-281.14001"
"1973-12-29 00:00:00.0";"14.8";"-306.94"
"1974-03-02 00:00:00.0";"12.1";"-321.04"
"1974-03-30 00:00:00.0";"14.3";"-288.64001"
"1974-07-06 00:00:00.0";"23.9";"-203.03999"
"1974-07-30 00:00:00.0";"27.79999";"-164.94"
